plan_b_balance_final,plan_b_shortfall,plan_b_educacion_ok,satelite_balance_25,villarrica_ok,villarrica_shortfall,satelite_balance_final,herencia_ok,herencia_shortfall,todos_ok_plan_b
157616.23548445682,0.0,True,1860399.281191773,True,0.0,14726510.260841362,True,0.0,True
0.0,6662.63687160244,False,5165989.178432612,True,0.0,60279005.3967943,True,0.0,False
0.0,24692.97965816903,False,1571826.6911619878,True,0.0,21080772.60678441,True,0.0,False
0.0,41854.034311595184,False,2552900.2048015976,True,0.0,30651104.360522605,True,0.0,False
99615.53832422332,0.0,True,4906423.602863073,True,0.0,250280016.35237283,True,0.0,True
35986.036812986895,0.0,True,2681912.469342183,True,0.0,23801547.318945084,True,0.0,True
101965.78833014281,0.0,True,1679831.4790892021,True,0.0,17143034.41291968,True,0.0,True
11721.423738597841,0.0,True,2733680.434450594,True,0.0,33117977.52206175,True,0.0,True
7800.588837848889,0.0,True,4277894.96601018,True,0.0,20975355.132786416,True,0.0,True
0.0,22042.815904883522,False,2160904.067970741,True,0.0,25771159.158528026,True,0.0,False
124071.37127910083,0.0,True,1141248.6061344347,True,0.0,3954684.5296672806,True,0.0,True
286942.45779116056,0.0,True,2045553.4333633773,True,0.0,24667703.9200959,True,0.0,True
105243.89966945558,0.0,True,1898403.084448298,True,0.0,15007823.142996408,True,0.0,True
119180.27059283643,0.0,True,2665060.2660188274,True,0.0,17172648.68939808,True,0.0,True
0.0,68777.04814027526,False,1451912.7089729202,True,0.0,8197392.188741514,True,0.0,False
76298.51201853917,0.0,True,8149155.121472257,True,0.0,156779065.48095417,True,0.0,True
82437.48140923968,0.0,True,2204227.9318690677,True,0.0,27261910.46432493,True,0.0,True
0.0,44132.76513449011,False,3880622.8307646513,True,0.0,33575279.08405971,True,0.0,False
128223.09199198868,0.0,True,2676980.558180181,True,0.0,72521416.65862314,True,0.0,True
269212.68247334077,0.0,True,1608165.6341207589,True,0.0,22240631.214004856,True,0.0,True
36349.51064225811,0.0,True,1414404.9253942978,True,0.0,16637317.929940846,True,0.0,True
